time,open,high,low,close
2026-07-14T18:14:00-05:00,29794.25,29799.75,29794,29794.75
2026-07-14T18:15:00-05:00,29793.75,29798.75,29792.25,29798.75
2026-07-14T18:16:00-05:00,29797.75,29798.75,29793,29793
2026-07-14T18:17:00-05:00,29791.5,29794.25,29785,29787.5
2026-07-14T18:18:00-05:00,29788.5,29791,29786.25,29790.5
2026-07-14T18:19:00-05:00,29789.75,29792.5,29789,29792.5
2026-07-14T18:20:00-05:00,29790.75,29793.75,29787.5,29788
2026-07-14T18:21:00-05:00,29792.75,29803.25,29792.75,29801
2026-07-14T18:22:00-05:00,29801,29802.5,29797,29799.5
2026-07-14T18:23:00-05:00,29798.5,29800.5,29796.5,29799.75
2026-07-14T18:24:00-05:00,29799.25,29806,29799.25,29803.5
2026-07-14T18:25:00-05:00,29803.25,29856.25,29800.75,29850.75
2026-07-14T18:26:00-05:00,29852.25,29855.5,29835,29838.25
2026-07-14T18:27:00-05:00,29835.75,29850.75,29835.75,29846.5
2026-07-14T18:28:00-05:00,29846,29854.5,29842,29850.25
2026-07-14T18:29:00-05:00,29850,29873,29849.75,29866.75
2026-07-14T18:30:00-05:00,29866.25,29874.25,29864.25,29871.75
2026-07-14T18:31:00-05:00,29870.5,29881.5,29863.5,29873.5
2026-07-14T18:32:00-05:00,29874.25,29878.5,29866,29867.75
2026-07-14T18:33:00-05:00,29870.5,29872.5,29864.75,29868
2026-07-14T18:34:00-05:00,29867.75,29869.75,29862,29866.75
2026-07-14T18:35:00-05:00,29866.25,29872.5,29862,29869.25
2026-07-14T18:36:00-05:00,29868.5,29868.5,29862.75,29865.25
2026-07-14T18:37:00-05:00,29865,29872,29864.5,29870
2026-07-14T18:38:00-05:00,29869.75,29870,29863.75,29865.5
2026-07-14T18:39:00-05:00,29867.25,29867.25,29864.5,29864.5
2026-07-14T18:40:00-05:00,29865.75,29871,29863.25,29868
2026-07-14T18:41:00-05:00,29866.5,29868.75,29862.5,29865
2026-07-14T18:42:00-05:00,29864.5,29875.75,29864,29865
2026-07-14T18:43:00-05:00,29863,29863,29850.75,29851
2026-07-14T18:44:00-05:00,29852.25,29859.25,29847.5,29849.25
2026-07-14T18:45:00-05:00,29848.5,29853.75,29844.5,29849.75
2026-07-14T18:46:00-05:00,29847.75,29857.5,29847.75,29855.25
2026-07-14T18:47:00-05:00,29856.5,29869.75,29856,29867.5
2026-07-14T18:48:00-05:00,29865.75,29873.75,29862.75,29873.75
2026-07-14T18:49:00-05:00,29872.5,29876,29870.75,29875.25
2026-07-14T18:50:00-05:00,29872.5,29875.5,29871,29874
2026-07-14T18:51:00-05:00,29873,29877.5,29864,29870
2026-07-14T18:52:00-05:00,29872,29884,29870.75,29879
2026-07-14T18:53:00-05:00,29877.75,29883.25,29876.75,29882
2026-07-14T18:54:00-05:00,29882,29894,29881.25,29890.75
2026-07-14T18:55:00-05:00,29890.25,29893,29886,29886.5
2026-07-14T18:56:00-05:00,29885.75,29888.75,29885,29887.75
2026-07-14T18:57:00-05:00,29889.25,29900,29879,29882.5
2026-07-14T18:58:00-05:00,29882.5,29885.75,29876,29878.75
2026-07-14T18:59:00-05:00,29877.75,29889.25,29877.75,29889.25
2026-07-14T19:00:00-05:00,29889,29897,29855,29857.5
2026-07-14T19:01:00-05:00,29856,29872.5,29855,29867
2026-07-14T19:02:00-05:00,29866,29884.75,29862.5,29866.25
2026-07-14T19:03:00-05:00,29865.75,29872.5,29860,29872
2026-07-14T19:04:00-05:00,29871.75,29876,29862,29863.5
2026-07-14T19:05:00-05:00,29863.5,29863.5,29839,29841.75
2026-07-14T19:06:00-05:00,29844,29861.25,29837.5,29852.75
2026-07-14T19:07:00-05:00,29852,29859.25,29842.5,29857.75
2026-07-14T19:08:00-05:00,29856.5,29869,29852.25,29865.75
2026-07-14T19:09:00-05:00,29863.5,29870.75,29858.5,29868
2026-07-14T19:10:00-05:00,29867.25,29893.25,29863.75,29881.5
2026-07-14T19:11:00-05:00,29879.5,29896.75,29873.25,29894
2026-07-14T19:12:00-05:00,29894,29897,29888,29890.25
2026-07-14T19:13:00-05:00,29890.25,29902.75,29885.75,29896
2026-07-14T19:14:00-05:00,29895.5,29900.25,29890.75,29893
2026-07-14T19:15:00-05:00,29888.75,29895.5,29882,29888.25
2026-07-14T19:16:00-05:00,29891,29893.5,29883.75,29890
2026-07-14T19:17:00-05:00,29890.5,29896,29887.5,29890.5
2026-07-14T19:18:00-05:00,29889.25,29909.25,29889.25,29901.25
2026-07-14T19:19:00-05:00,29902.5,29907.5,29894.5,29898.5
2026-07-14T19:20:00-05:00,29898.5,29938,29898.5,29923.5
2026-07-14T19:21:00-05:00,29923.5,29925,29913.5,29914.5
2026-07-14T19:22:00-05:00,29914.5,29918.75,29910.5,29911.5
2026-07-14T19:23:00-05:00,29912.5,29921,29911,29920
2026-07-14T19:24:00-05:00,29919.25,29926.75,29908.5,29911.5
2026-07-14T19:25:00-05:00,29910.25,29920,29906.75,29908.5
2026-07-14T19:26:00-05:00,29907.75,29910.25,29905.25,29909.25
2026-07-14T19:27:00-05:00,29911.25,29917,29906.5,29916.25
2026-07-14T19:28:00-05:00,29913,29921,29909.25,29919.75
2026-07-14T19:29:00-05:00,29918.5,29920,29914.25,29918
2026-07-14T19:30:00-05:00,29920.25,29925.75,29918.75,29924.5
2026-07-14T19:31:00-05:00,29923.75,29928.5,29918.25,29922.5
2026-07-14T19:32:00-05:00,29922.75,29924.25,29912.5,29916.5
2026-07-14T19:33:00-05:00,29917,29917,29901.25,29904.5
2026-07-14T19:34:00-05:00,29903.5,29906.5,29897,29898.25
2026-07-14T19:35:00-05:00,29898.75,29900.25,29888.75,29890
2026-07-14T19:36:00-05:00,29889.5,29889.5,29878,29883
2026-07-14T19:37:00-05:00,29881.25,29882.5,29868,29869.5
2026-07-14T19:38:00-05:00,29870,29888.75,29868.5,29888.75
2026-07-14T19:39:00-05:00,29888.25,29889.25,29880,29888.75
2026-07-14T19:40:00-05:00,29889,29897.75,29886.75,29897.5
2026-07-14T19:41:00-05:00,29897.25,29898.5,29877.5,29877.75
2026-07-14T19:42:00-05:00,29879.5,29881,29857.5,29859
2026-07-14T19:43:00-05:00,29861,29863,29841,29847.75
2026-07-14T19:44:00-05:00,29847.75,29858.75,29847.25,29858.25
2026-07-14T19:45:00-05:00,29858.25,29879,29849,29875
2026-07-14T19:46:00-05:00,29876.75,29883.5,29873,29880
2026-07-14T19:47:00-05:00,29881.25,29890,29871.5,29886
2026-07-14T19:48:00-05:00,29886.75,29891,29881.25,29882.5
2026-07-14T19:49:00-05:00,29882.5,29884,29877,29883
2026-07-14T19:50:00-05:00,29880.75,29900,29880.25,29895.5
2026-07-14T19:51:00-05:00,29896,29906.25,29890.75,29903
2026-07-14T19:52:00-05:00,29904.25,29910.25,29901,29908.75
2026-07-14T19:53:00-05:00,29907,29909,29899.25,29900.75
2026-07-14T19:54:00-05:00,29903.5,29911.5,29901.25,29903.5
2026-07-14T19:55:00-05:00,29907,29918.25,29902.25,29914
2026-07-14T19:56:00-05:00,29913.25,29916.75,29910,29911.5
2026-07-14T19:57:00-05:00,29912.25,29920,29909.75,29919.75
2026-07-14T19:58:00-05:00,29918.5,29929.5,29917.25,29927
2026-07-14T19:59:00-05:00,29926.75,29929.5,29917,29918
2026-07-14T20:00:00-05:00,29920,29927,29894.5,29898
2026-07-14T20:01:00-05:00,29895.75,29898,29883.25,29886.5
2026-07-14T20:02:00-05:00,29886,29888.5,29878.5,29881
